title     ,  price 
FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint,"PKR67,562.61"
"IKIA 14.1-inch Work and Study Laptop, Intel Celeron J4105 (1.5 GHz), LPDDR4 8GB RAM Windows Pro Fingerprint Unlock","PKR55,535.61"
High-end Lenovo Laptop ThinkPad P15v Gen 3 2022 15.6 Inch FHD i7-12700H i7-11800H 10750H 64GB Ram 4TB SSD Nvidia Pro Graphics,"PKR1,170,890.7"
"BEEX Windows 11 Laptop, Celeron N4000, Portable Netbook, 14.1 Display, 6GB RAM, 1TB SSD-Perfect-Office & School","PKR42,115.82"
Adreamer LeoBook 13 Laptop 13.3-inch Intel Celeron N4020 8GB RAM 1T SSD Windows 10 Computer Office School Notebook PC,"PKR39,280.6"
Topton L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch 12th Gen Intel N100 Max 32G DDR4 2T SSD Slim Office Notebook PC Computer,"PKR117,674.51"
"IKIA 14.1-inch Work and Study Laptop, Intel Celeron N4000 (1.1 GHz), LPDDR4 8GB RAM Windows Pro Fingerprint Unlock","PKR52,002.07"
"15.6""+7"" Dual Screen Laptop Intel Celeron N100 32GB 16GB DDR4 RGB Backlit Keyboard Computer Notebook Laptops Touch Screen","PKR111,314.16"
Ｈigh-end Lenovo Yoga Air 14c 2022 Laptop With i7-1280P Xe Graphics LPDDR5 1TB SSD ThunderBolt 14 Inch 2880X1800 Touch Display,"PKR1,254,525.75"
"BOLUNSHUAI  Laptop 15.6"" Intel Processor N95 or i7 Notebook 16GB RAM 1TB SSD Cheap Computer FULL HD Resolution Office Study PC","PKR99,652.34"
